date,comment,PCPI_PC_CP_A_PT_old,PCPI_PC_CP_A_PT_new,diff,Country,indicator,PCPIF_PC_CP_A_PT_old,PCPIF_PC_CP_A_PT_new,PCPIA_PC_CP_A_PT_old,PCPIA_PC_CP_A_PT_new,PCPIH_PC_CP_A_PT_old,PCPIH_PC_CP_A_PT_new,PCPIHO_PC_CP_A_PT_old,PCPIHO_PC_CP_A_PT_new,PCPIM_PC_CP_A_PT_old,PCPIM_PC_CP_A_PT_new,PCPIT_PC_CP_A_PT_old,PCPIT_PC_CP_A_PT_new,PCPIR_PC_CP_A_PT_old,PCPIR_PC_CP_A_PT_new,PCPIO_PC_CP_A_PT_old,PCPIO_PC_CP_A_PT_new,PCPIED_PC_CP_A_PT_old,PCPIED_PC_CP_A_PT_new,PCPIFBT_PC_CP_A_PT_old,PCPIFBT_PC_CP_A_PT_new,PCPIRE_PC_CP_A_PT_old,PCPIRE_PC_CP_A_PT_new,PCPIEC_PC_CP_A_PT_old,PCPIEC_PC_CP_A_PT_new
2022-07-31,,,,1.5999999999999996,Chad,Recreation and culture,,,,,,,,,,,,,4.7,6.3,,,,,,,,,,
2022-02-28,new is correct ,,,2.3,Chad,Restaurants and hotels,,,,,,,,,,,,,,,,,,,,,0.6,2.9,,
2022-06-30,rounding,,,0.10000000000000142,Ethiopia,"Alcoholic Beverages, Tobacco, and Narcotics",,,,,,,,,,,,,,,,,,,38.1,38.0,,,,
2021-10-31,new is correct ,,,1.7,Gabon,Clothing and footwear,,,-0.3,1.4,,,,,,,,,,,,,,,,,,,,
2021-10-31,new is correct ,,,2.3,Gabon,"Housing, Water, Electricity, Gas and Other Fuels",,,,,2.0,-0.3,,,,,,,,,,,,,,,,,,
2021-01-31,new is correct ,,,1.1000000000000005,Ghana,Clothing and footwear,,,8.3,7.2,,,,,,,,,,,,,,,,,,,,
2022-02-28,,,,3.0,Ghana,Clothing and footwear,,,6.5,9.5,,,,,,,,,,,,,,,,,,,,
2021-01-31,new is correct ,,,9.7,Ghana,"Housing, Water, Electricity, Gas and Other Fuels",,,,,28.7,19.0,,,,,,,,,,,,,,,,,,
2022-02-28,,,,10.2,Ghana,"Housing, Water, Electricity, Gas and Other Fuels",,,,,15.2,25.4,,,,,,,,,,,,,,,,,,
2021-01-31,new is correct ,,,6.5,Ghana,"Furnishings, household equipment and routine household maintenance",,,,,,,11.0,4.5,,,,,,,,,,,,,,,,
2022-02-28,new is correct ,,,8.4,Ghana,"Furnishings, household equipment and routine household maintenance",,,,,,,6.0,14.4,,,,,,,,,,,,,,,,
2021-01-31,,,,1.5,Ghana,Health,,,,,,,,,5.4,6.9,,,,,,,,,,,,,,
2022-02-28,,,,0.6000000000000005,Ghana,Health,,,,,,,,,6.3,6.9,,,,,,,,,,,,,,
2021-01-31,,,,11.999999999999998,Ghana,Transport,,,,,,,,,,,17.4,5.4,,,,,,,,,,,,
2022-02-28,,,,5.5,Ghana,Transport,,,,,,,,,,,12.8,18.3,,,,,,,,,,,,
2021-01-31,,,,9.0,Ghana,Recreation and culture,,,,,,,,,,,,,12.0,3.0,,,,,,,,,,
2022-02-28,,,,6.3999999999999995,Ghana,Recreation and culture,,,,,,,,,,,,,6.3,12.7,,,,,,,,,,
2022-02-28,,,,7.5,Ghana,Miscellaneous goods and services,,,,,,,,,,,,,,,6.0,13.5,,,,,,,,
2021-01-31,,,,0.6000000000000001,Ghana,Education,,,,,,,,,,,,,,,,,0.9,0.3,,,,,,
2022-02-28,,,,1.0,Ghana,Education,,,,,,,,,,,,,,,,,0.3,1.3,,,,,,
2021-01-31,,,,0.5999999999999996,Ghana,"Alcoholic Beverages, Tobacco, and Narcotics",,,,,,,,,,,,,,,,,,,8.0,7.4,,,,
2022-02-28,new is correct ,,,2.5999999999999996,Ghana,"Alcoholic Beverages, Tobacco, and Narcotics",,,,,,,,,,,,,,,,,,,6.4,9.0,,,,
2021-01-31,,,,4.3,Ghana,Restaurants and hotels,,,,,,,,,,,,,,,,,,,,,9.1,4.8,,
2022-02-28,,,,6.6,Ghana,Restaurants and hotels,,,,,,,,,,,,,,,,,,,,,4.0,10.6,,
2021-01-31,,,,2.2,Ghana,Communication,,,,,,,,,,,,,,,,,,,,,,,8.9,6.7
2022-02-28,,,,3.0999999999999996,Ghana,Communication,,,,,,,,,,,,,,,,,,,,,,,7.1,10.2
2022-06-30,IMF contradicts,,,0.10999999999999943,Niger,Food and non-alcoholic beverages,8.2,8.09,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,IMF contradicts,,,0.10999999999999988,Niger,Clothing and footwear,,,2.2,2.31,,,,,,,,,,,,,,,,,,,,
2022-06-30,IMF contradicts,,,0.11000000000000032,Niger,Clothing and footwear,,,2.7,2.59,,,,,,,,,,,,,,,,,,,,
2022-03-31,IMF contradicts,,,0.12,Niger,"Furnishings, household equipment and routine household maintenance",,,,,,,0.6,0.48,,,,,,,,,,,,,,,,
2022-06-30,IMF contradicts,,,0.10999999999999999,Niger,Transport,,,,,,,,,,,1.0,0.89,,,,,,,,,,,,
